author,work,word count
euripides,iphigenia_tauris,11394
euripides,medea,10881
euripides,orestes,13480
euripides,phoenissae,13455
euripides,rhesus,7435
euripides,suppliants,9576
euripides,trojan_women,9885
eusebius_caesarea,historia_ecclesiastica,106363
eutropius,brevarium,18998
flavius_josephus,antiquitates_judaicae,320559
flavius_josephus,contra_apionem,23960
flavius_josephus,de_bello_judaico_libri_vii,133225
flavius_josephus,josephi_vita,16641
florus,epitome_bellorum_omnium_annorum,28334
galen,natural_faculties,31803
gellius,attic_nights,125081
glass,washingtonii_vita,27622
gregory_of_nazianzus,christus_patiens,30149
gregory_of_nazianzus,theological_orations,26201
herodotus,histories,189385
hesiod,works_and_days,7524
hippocrates,de_aere_aquis_et_locis,7540
hippocrates,de_alimento,1419
hippocrates,de_morbis_popularibus,11046
hippocrates,de_prisca_medicina,5578
hippocrates,jusjurandum,253
hippocrates,praeceptiones,1375
homer,iliad,143228
homer,odyssey,111586
horace,ars_poetica,4518
horace,carmen_saeculare,541
horace,epistles,12889
horace,epodes,4256
horace,odes,19360
horace,satires,18441
hyperides,speeches,11967
isaeus,speeches,34379
isocrates,letters,7092
isocrates,speeches,115874
italicus,ilias_latina,8749
jerome,epistulae,297948
jerome,vulgate,734326
juvenal,satires,28783
juvencus,historia_evangelica,29400
libanius,declamations_1-12,60473
libanius,declamations_13-30,78629
libanius,declamations_31-51,96512
libanius,orations_1-11,55102
libanius,orations_26-50,73285
libanius,orations_51-64,63877
livy,ab_urbe_condita,545657
lucan,bellum_civile,59126
lucian,abdicatus,4842
lucian,adversus_indoctum_et_libros_multos_ementem,3864
lucian,alexander,7053
lucian,anacharsis,6400
lucian,apologia,2095
lucian,bacchus,1036
lucian,bis_accusatus_sive_tribunalia,5725
lucian,calumniae_non_temere_credundum,3203
lucian,cataplus,3905
lucian,contemplantes,4163
lucian,de_astrologia,2044
lucian,de_domo,3226
lucian,de_luctu,1843
lucian,de_mercede,7207
lucian,de_morte_peregrini,4394
lucian,de_parasito_sive_artem_esse_parasiticam,6549
lucian,de_sacrificiis,1830
lucian,de_saltatione,7226
lucian,de_syria_dea,6480
lucian,dearum_iudicium,2027
lucian,demonax,3235
lucian,deorum_consilium,1890
lucian,dialogi_deorum,7704
lucian,dialogi_marini,4057
lucian,dialogi_meretricii,8038
lucian,dialogi_mortuorum,11432
lucian,dipsades,952
lucian,electrum,616
lucian,eunuchus,1325
lucian,fugitivi,3176
lucian,gallus,5633
lucian,harmonides,988
lucian,hercules,778
lucian,hermotimus,14171
lucian,herodotus,941
lucian,hesiod,954
lucian,hippias,984
lucian,icaromenippus,5286
lucian,imagines,3246
lucian,iudicium_vocalium,1181
lucian,iuppiter_confuatus,2314
lucian,iuppiter_tragoedus,6663
lucian,lexiphanes,2888
lucian,marcrobii,2177
lucian,muscae_encomium,1217
lucian,navigium,5422
lucian,necyomantia,3331
lucian,nigrinus,4113
lucian,patriae_encomium,994
lucian,phalaris,2935
lucian,philopseudes,6321
lucian,piscator,6361
lucian,podagra,375
lucian,pro_imaginibus,3595
lucian,pro_lapsu_inter_salutandum,1649
lucian,prometheus,2392
lucian,prometheus_es_in_verbis,1043
lucian,pseudologista,3976
lucian,quomodo_historia_conscribenda_sit,7689
lucian,rhetorum_praeceptor,3608
lucian,saturnalia,5279
lucian,scytha,1854
lucian,soleocista,1755
lucian,somnium,1824
lucian,symposium,4793
lucian,timon,6010
lucian,toxaris_vel_amicitia,9936
lucian,tyrannicida,2882
lucian,verae_historiae,11438
lucian,vitarum_auctio,3469
lucian,zeuxis,1609
lucretius,de_rerum_natura,56458
lycophron,alexandra,8938
lycurgus,against_leocrates,11074
lysias,speeches,58390
macrobius,fragment,145
macrobius,saturnalia,90810
manilius,astronomicon,36093
marcus_aurelius,m,29883
marcus_mincuius_felix,octavius,12142
martial,epigrams,46998
nepos,vitae,30896
new_testament,acts,21423
new_testament,colossians,1864
new_testament,ephesians,2882
new_testament,galatians,2677
new_testament,hebrews,5895
new_testament,i_corinthinians,8566
new_testament,i_john,2555
new_testament,i_peter,2090
new_testament,i_thessalonians,1837
new_testament,i_timothy,2054
new_testament,ii_corinthinians,5497
new_testament,ii_john,297
new_testament,ii_peter,1339
new_testament,ii_thessalonians,1013
new_testament,ii_timothy,1574
new_testament,iii_john,279
new_testament,james,2058
new_testament,john,18225
new_testament,jude,531
new_testament,luke,22899
new_testament,mark,13289
new_testament,mathew,21501
new_testament,philemon,409
new_testament,philippians,1943
new_testament,revelation,11061
new_testament,romans,8403
new_testament,titus,799
nonnus_of_panopolis,dionysiaca,169447
oppian,halieutica,29765
oppian_of_apamea,cynegetica,35546
ovid,amores,20652
ovid,ars_amatoria,21885
ovid,ex_ponto,27138
ovid,fasti,41203
ovid,heroides,33660
ovid,ibis,5319
ovid,medicamina_faciei_femineae,813
ovid,metamorphoses,102086
ovid,remedia_amoris,7698
ovid,tristia,29900
paulus_diaconus,carmina,13740
pausanias,description_of_greece,221270
persius,satires,5757
petronius,satyricon,30755
philostratus_the_athenian,de_gymnastica,7782
philostratus_the_athenian,epistulae_et_dialexeis,7672
philostratus_the_athenian,heroicus,21979
philostratus_the_athenian,vita_apollonii,84607
philostratus_the_athenian,vitae_sophistarum,29147
philostratus_the_lemnian,imagines,23222
phlegon,de_mirabilibus,5272
pindar,odes,27970
plato,alcibiades_1,10766
plato,alcibiades_2,4390
plato,apologia,9124
plato,charmides,8677
plato,cleitophon,1614
plato,cratylus,19119
plato,critias,5180
plato,crito,4354
plato,epinomis,6613
plato,epistles,17817
plato,erastai,2500
plato,euthydemus,13025
plato,euthyphro,5383
plato,gorgias,27502
plato,hipparchus,2351
plato,hippias_maior,8930
plato,hippias_minor,4462
plato,ion,4031
plato,laches,8032
plato,leges,103644
plato,lovers,2500
plato,lysis,7255
plato,menexenus,5044
plato,meno,10127
plato,minos,2958
plato,parmenides,15864
plato,phaedo,23268
plato,phaedrus,17410
plato,philebus,18562
plato,protagoras,18362
plato,respublica,92401
plato,sophista,16825
plato,statesman,17793
plato,symposium,18147
plato,theaetetus,23554
plato,theages,3618
plato,timaeus,24769
plautus,amphitruo,11700
plautus,asinaria,9493
plautus,aulularia,8238
plautus,bacchides,11967
plautus,captivi,10360
plautus,casina,9104
plautus,cistellaria,6316
plautus,curculio,7163
plautus,epidicus,7454
plautus,menaechmi,11232
plautus,mercator,10031
plautus,miles_gloriosus,14655
plautus,mostellaria,11251
plautus,persa,8909
plautus,poenulus,13597
plautus,pseudolus,13194
plautus,rudens,13894
plautus,stichus,7470
plautus,trinummus,11742
plautus,truculentus,9749
pliny_the_elder,naturalis_historia,398955
pliny_the_younger,letters,76275
plutarch,ad_principem_ineruditum,1611
plutarch,adversus_colotem,9993
plutarch,aemilius_paulus,10195
plutarch,agesilaus,11124
plutarch,agis,4652
plutarch,alcibiades,10471
plutarch,alexander,20631
plutarch,amatoriae_narrationes,1825
plutarch,amatorius,10893
plutarch,an_recte_dictum_sit_latenter_esse_vivendum,1259
plutarch,an_seni_respublica_gerenda_sit,6817
plutarch,an_virtus_doceri_possit,661
plutarch,an_vitiositas_ad_infelicitatem_sufficia,877
plutarch,animine_an_corporis_affectiones_sint_piores,858
plutarch,antony,19186
plutarch,apophthegmata_laconica,14186
plutarch,aquane_an_ignis_sit_utilior,1650
plutarch,aratus,12220
plutarch,aristides,8443
plutarch,artaxerxes,7625
plutarch,bruta_animalia_ratione_uti,3478
plutarch,brutus,12411
plutarch,caesar,16578
plutarch,caius_gracchus,4304
plutarch,caius_marcius_coriolanus,9671
plutarch,caius_marius,13255
plutarch,camillus,11426
plutarch,cato_minor,17576
